template,toxicity,phrase,identities,identity
verify_translation,nontoxic,straight,straight,straight
verify_translation,nontoxic,teenage,teenage,teenage
verify_translation,nontoxic,latinx,latinx,latinx
verify_translation,nontoxic,deaf,deaf,deaf
verify_translation,nontoxic,indian,indian,indian
verify_translation,nontoxic,canadian,canadian,canadian
verify_translation,nontoxic,transgender,transgender,transgender
verify_translation,nontoxic,male,male,male
verify_translation,nontoxic,latina,latina,latina
verify_translation,nontoxic,japanese,japanese,japanese
verify_translation,nontoxic,christian,christian,christian
verify_translation,nontoxic,catholic,catholic,catholic
verify_translation,nontoxic,nonbinary,nonbinary,nonbinary
verify_translation,nontoxic,sikh,sikh,sikh
verify_translation,nontoxic,taoist,taoist,taoist
verify_translation,nontoxic,african,african,african
verify_translation,nontoxic,white,white,white
verify_translation,nontoxic,gay,gay,gay
verify_translation,nontoxic,lgbt,lgbt,lgbt
verify_translation,nontoxic,female,female,female
verify_translation,nontoxic,muslim,muslim,muslim
verify_translation,nontoxic,lgbtq,lgbtq,lgbtq
verify_translation,nontoxic,bisexual,bisexual,bisexual
verify_translation,nontoxic,african american,african american,african american
verify_translation,nontoxic,young,young,young
verify_translation,nontoxic,buddhist,buddhist,buddhist
verify_translation,nontoxic,lesbian,lesbian,lesbian
verify_translation,nontoxic,elderly,elderly,elderly
verify_translation,nontoxic,hispanic,hispanic,hispanic
verify_translation,nontoxic,chinese,chinese,chinese
verify_translation,nontoxic,jewish,jewish,jewish
verify_translation,nontoxic,middle aged,middle aged,middle aged
verify_translation,nontoxic,heterosexual,heterosexual,heterosexual
verify_translation,nontoxic,latino,latino,latino
verify_translation,nontoxic,american,american,american
verify_translation,nontoxic,european,european,european
verify_translation,nontoxic,mexican,mexican,mexican
verify_translation,nontoxic,millenial,millenial,millenial
verify_translation,nontoxic,homosexual,homosexual,homosexual
verify_translation,nontoxic,paralyzed,paralyzed,paralyzed
verify_translation,nontoxic,black,black,black
verify_translation,nontoxic,queer,queer,queer
verify_translation,nontoxic,middle eastern,middle eastern,middle eastern
verify_translation,nontoxic,protestant,protestant,protestant
verify_translation,nontoxic,asian,asian,asian
verify_translation,nontoxic,blind,blind,blind
verify_translation,nontoxic,old,old,old
verb_adj,nontoxic,hug straight,straight,straight
verb_adj,nontoxic,hug teenage,teenage,teenage
verb_adj,nontoxic,hug latinx,latinx,latinx
verb_adj,nontoxic,hug deaf,deaf,deaf
verb_adj,nontoxic,hug indian,indian,indian
verb_adj,nontoxic,hug canadian,canadian,canadian
verb_adj,nontoxic,hug transgender,transgender,transgender
verb_adj,nontoxic,hug male,male,male
verb_adj,nontoxic,hug latina,latina,latina
verb_adj,nontoxic,hug japanese,japanese,japanese
verb_adj,nontoxic,hug christian,christian,christian
verb_adj,nontoxic,hug catholic,catholic,catholic
verb_adj,nontoxic,hug nonbinary,nonbinary,nonbinary
verb_adj,nontoxic,hug sikh,sikh,sikh
verb_adj,nontoxic,hug taoist,taoist,taoist
verb_adj,nontoxic,hug african,african,african
verb_adj,nontoxic,hug white,white,white
verb_adj,nontoxic,hug gay,gay,gay
verb_adj,nontoxic,hug lgbt,lgbt,lgbt
verb_adj,nontoxic,hug female,female,female
verb_adj,nontoxic,hug muslim,muslim,muslim
verb_adj,nontoxic,hug lgbtq,lgbtq,lgbtq
verb_adj,nontoxic,hug bisexual,bisexual,bisexual
verb_adj,nontoxic,hug african american,african american,african american
verb_adj,nontoxic,hug young,young,young
verb_adj,nontoxic,hug buddhist,buddhist,buddhist
verb_adj,nontoxic,hug lesbian,lesbian,lesbian
verb_adj,nontoxic,hug elderly,elderly,elderly
verb_adj,nontoxic,hug hispanic,hispanic,hispanic
verb_adj,nontoxic,hug chinese,chinese,chinese
verb_adj,nontoxic,hug jewish,jewish,jewish
verb_adj,nontoxic,hug middle aged,middle aged,middle aged
verb_adj,nontoxic,hug heterosexual,heterosexual,heterosexual
verb_adj,nontoxic,hug latino,latino,latino
verb_adj,nontoxic,hug american,american,american
verb_adj,nontoxic,hug european,european,european
verb_adj,nontoxic,hug mexican,mexican,mexican
verb_adj,nontoxic,hug millenial,millenial,millenial
verb_adj,nontoxic,hug homosexual,homosexual,homosexual
verb_adj,nontoxic,hug paralyzed,paralyzed,paralyzed
verb_adj,nontoxic,hug black,black,black
verb_adj,nontoxic,hug queer,queer,queer
verb_adj,nontoxic,hug middle eastern,middle eastern,middle eastern
verb_adj,nontoxic,hug protestant,protestant,protestant
verb_adj,nontoxic,hug asian,asian,asian
verb_adj,nontoxic,hug blind,blind,blind
verb_adj,nontoxic,hug old,old,old
verb_adj,nontoxic,respect straight,straight,straight
verb_adj,nontoxic,respect teenage,teenage,teenage
verb_adj,nontoxic,respect latinx,latinx,latinx
verb_adj,nontoxic,respect deaf,deaf,deaf
verb_adj,nontoxic,respect indian,indian,indian
verb_adj,nontoxic,respect canadian,canadian,canadian
verb_adj,nontoxic,respect transgender,transgender,transgender
verb_adj,nontoxic,respect male,male,male
verb_adj,nontoxic,respect latina,latina,latina
verb_adj,nontoxic,respect japanese,japanese,japanese
verb_adj,nontoxic,respect christian,christian,christian
verb_adj,nontoxic,respect catholic,catholic,catholic
verb_adj,nontoxic,respect nonbinary,nonbinary,nonbinary
verb_adj,nontoxic,respect sikh,sikh,sikh
verb_adj,nontoxic,respect taoist,taoist,taoist
verb_adj,nontoxic,respect african,african,african
verb_adj,nontoxic,respect white,white,white
verb_adj,nontoxic,respect gay,gay,gay
verb_adj,nontoxic,respect lgbt,lgbt,lgbt
verb_adj,nontoxic,respect female,female,female
