template,toxicity,phrase,identities,identity
verify_translation,nontoxic,lesbiana,lesbiana,lesbian
verify_translation,nontoxic,gay,gay,gay
verify_translation,nontoxic,bisexuala,bisexuala,bisexual
verify_translation,nontoxic,transgenero,transgenero,transgender
verify_translation,nontoxic,queer,queer,queer
verify_translation,nontoxic,lgbt,lgbt,lgbt
verify_translation,nontoxic,lgbtq,lgbtq,lgbtq
verify_translation,nontoxic,homosexual,homosexual,homosexual
verify_translation,nontoxic,hetero,hetero,straight
verify_translation,nontoxic,heterosexual,heterosexual,heterosexual
verify_translation,nontoxic,masculino,masculino,male
verify_translation,nontoxic,femenino,femenino,female
verify_translation,nontoxic,sin genero,sin genero,nonbinary
verify_translation,nontoxic,africano,africano,african
verify_translation,nontoxic,afroamericano,afroamericano,african american
verify_translation,nontoxic,negro,negro,black
verify_translation,nontoxic,blanco,blanco,white
verify_translation,nontoxic,europeo,europeo,european
verify_translation,nontoxic,hispano,hispano,hispanic
verify_translation,nontoxic,latino,latino,latino
verify_translation,nontoxic,latina,latina,latina
verify_translation,nontoxic,latinx,latinx,latinx
verify_translation,nontoxic,mexicano,mexicano,mexican
verify_translation,nontoxic,canadiense,canadiense,canadian
verify_translation,nontoxic,americano,americano,american
verify_translation,nontoxic,asiatico,asiatico,asian
verify_translation,nontoxic,indu,indu,indian
verify_translation,nontoxic,medio este,medio este,middle eastern
verify_translation,nontoxic,chino,chino,chinese
verify_translation,nontoxic,japones,japones,japanese
verify_translation,nontoxic,christiano,christiano,christian
verify_translation,nontoxic,musulman ,musulman ,muslim
verify_translation,nontoxic,judio,judio,jewish
verify_translation,nontoxic,budista ,budista ,buddhist
verify_translation,nontoxic,catholico,catholico,catholic
verify_translation,nontoxic,protestante ,protestante ,protestant
verify_translation,nontoxic,sikh,sikh,sikh
verify_translation,nontoxic,tahoista,tahoista,taoist
verify_translation,nontoxic,viejo,viejo,old
verify_translation,nontoxic,joven,joven,young
verify_translation,nontoxic,adolescente ,adolescente ,teenage
verify_translation,nontoxic,millenial,millenial,millenial
