,Text,Label
0,"..ya tardaba en salir quien pronunciase nombre catalán sílaba aguda como si fuese plana [es Eduááárd],[Ernééést],[Albééért] no son ingleses",0
1,"(Esto no es un discurso político y razonado, obviamente, solo una llamada de atención en plan ""JODER, NO CUESTA TANTO SABER COSAS"")",0
2,"Muy despreciados,siiii,pero todos vestidos de alta costura española o extranjera como la derechona burguesa verdad,… https://t.co/5UnIo6C3YF",1
3,marica explicame porque a veces no te entiendo. — En vez de venir a ensuciar mi cc con insultos homof... https://t.co/hSGMfcEtos,1
4,"Abusan de 1400 niñas durante 16 años porque la policía tenía miedo de que les llamasen racistas, eran moros #MuslimBan https://t.co/2LItT1ZqFN",0
5,"Es ridículo, ayer le dije a un árabe que no era necesario comer culos que no iban a discriminarle y me tacharon de racista",0
6,39. Me considero género no binario y mis pronombres son ella/ elle,0
7,@SuperFalete jajajajaja. Te jodes maricon.,1
8,Pero por qué cojones sois tan racistas contra los blancos que hoy en día mucho hetero patriarcado pero se han inver… https://t.co/ujmxe6fNpq,0
9,"La gente que se pretende burlar del feminismo diciendo ""machista opresor"" es porque no ha cogido un libro en su puta vida y no sabe qué es",0
10,"En qué puto momento tumblr decidió que ""ojos negros como pozos"" y ""piel aceitunada"" era ser BLANCO PAPEL CON OJOS GRISES.",0
11,Rovira lleva siendo subnormal desde 1980.,1
12,"Para el cine serías un progre guay y para lo demás un facha, fascista... https://t.co/ap7WYVzPQW",0
13,el mejor momento del día es irme a la cama mamona,0
14,"Dale a ""me gusta"" en mi página de Facebook y recibirás en menos de 24 horas a un sodomita enloquecido por Amazon.",1
15,Eres socialista? Del psoe? https://t.co/5ShB4Ob2q7,0
16,"Buah yo no me haría nunca un twitter, eso está lleno de rojos de mierda.",1
17,Os he contado la historia del guiri detrás mio? Que hombre más subnormal por favor,1
18,"¿eres heterofobica o no?, no te entiendo amiguita. — La heterofobia no existe cariño  https://t.co/dEm6sXp8UJ",0
19,"Joder, que llega un punto en que alguien abre la boca para decir algo en favor del feminismo y lo matamos.",0
20,"Independentista dice que cultura, historia y lengua de #Valencia y #Baleares es suya: ""porque también es nuestra"". #LaIndependenciaEnsRoba https://t.co/mLP1f38UDS",0
21,@Barandaand @lapaseata Los actores estos es que son todos unos fachas ...,1
22,"el marica de ones cargo me dijo te voy a pegar un tiro   ""  2 semanas despues sigue en silencio y escondido """,1
23,A ver si le dan un Goya al youtuber que se llevó la hostia por subnormal.,1
24,@MrAlvatros25 @Edd33Martin ha hecho las dos subnormal,0
25,"@SabakJacare Ideas racistas, xenófobas, machistas... eso es lo que defiende Trump. Y lo siento pero todo no es respetable.Por eso lo comparo",0
26,@Francis76440634 El Manchego Maricón debería tener esa sucia boca callada. Lo digo por su bien. Luego se esconde y con razón como las Ratas.,1
27,"@AngelPtzuo Si un diutado del PP dijese que Wyoming, Évole o Ferreras ""Es una vergüenza"" lo tachariais de fascista para arriba... 😑",0
28,"@Francis76440634 El día que Preescolar ataque a la Izquierda, ese día me haré maricón, o sea NUNCA. JAJAJA",0
29,Eres lesbiana? — No https://t.co/5UtfZTWgQb,0
30,Me siento profundamente subnormal empatizando tanto con mis propios personajes.,0
31,@NoALaIdDeGenero @lionalvawest @amazon @POTUS FASCISTAS DE SHARIA CRISTIANA HASTA EL CRIMEN !!! https://t.co/JISNsSQTUz,0
32,@7Josean7 @Zurine3 @MiGorrotxategi @RoberUriarte @MonederoJC los dos sois estupendas y @Zurine3 ha defendido el feminismo y la dignidad,0
33,"@pepone34 @barreracuevasfr dos horas estuve clavando yo la señalita en el suelo, mamona!!",0
34,"Joven nigeriano podría ser deportado a su propia muerte. Suecia dice que no puede ""probar"" que es gay. Firma ya: https://t.co/hpIqFNTf0w",0
35,"@FeelSpheal Me hice pasar por tia una vez en el lol y me llamaron feminazi, puta guarra, zorra y que tendria que estar fregando en la cocina",0
36,Ghostt subnormal se nota a la legua que eres tú el ... — Mira como llora el puto bizco https://t.co/1NKEvvwn0q,1
37,Un independentista (ergo facha) me llama «nacionalista» #OleTú https://t.co/CleIOU8aQr,0
38,"@coquegarcia @AlbertGuma @Rlvrlvrlv . Tuene usted, independentista, los santos cojones de llamarme «nacionalista», siendo yo de izquierdas",0
39,@7Estebaan el tweet lo ha escrito el mas fascista @JavitoBoned,0
40,"No veo los #goya2017. Admiro a los actores normales, pero otros son millonarios subvencionados por todos los españoles...y presumen de rojos",0
41,@Francis76440634 El Coletas es muy corto. Tiene en su mano embargar hasta los Calzones a Inda pero es demasiado Monguer.,1
42,"Y no crees que seas machista, homofobo, racista, etc? — Todos lo somos, desde luego, sobretodo por habernos... https://t.co/ODwO5NnvJD",0
43,Tu a tu puta casa a lamerle el culo al otro retrasado lmao,1
44,como hacer que una mujer hetero se vuelva bollera yahoo respuestas,0
45,Karra Elejalde es también sodomita???? #goya2017,0
46,El dictador me parece una película de 5 https://t.co/9GwEIx04aL en @tviso_es,0
47,@quiquechust Conclusión: Er Benni era un cabrón facha que ayudó a Trum,1
48,La peli de Trueba tampoco ha ganado ningún Goya por culpa del boicot de los fachas #goya2017,0
49,@Lamismamente @SylvyAKo @polibueno691 @aeperio @albert_dmcat una andaluza orgullosa de ser española! Eres como si una negra fuera del KKKLan,1
50,No creo que haya en el mundo alguien que me dé más asco y sea más subnormal que Dani Rovira.,1
51,Ideas para congraciarse con los del #BoycotALosGoyas: Nombrar los premios con el callejero facha. Ej: Goya General Mola Mejor Guión Original,0
52,@Wleeed48190095  y seguramente tengo el rabo más largo que tú moro mierdaaa!,1
53,"@Carlospuli94 Desgraciadamente la afición ya no es lo prioritario; ahora lo son los televidentes, prioritariamente de China y donde sea...",0
54,"""Basta ya de levantar fronteras"", dice el premiado al Mejor Documental. ¿Lo dirá en contra del secesionismo catalán o en contra de Trump?",0
55,"Zozulia: ""Sólo quería ayudar al Rayo, yo no soy fascista"" https://t.co/WEobeRuHqI https://t.co/cU2w8L2o4c",0
56,Paz Vega va peinada como uno que estaba en mi clase del colegio que era monguer. #goya2017,0
57,@FBarryX vente el sábado mamona,0
58,Hostia el padre homófobo de Mauri,0
59,"Quede ofendida marica, ¿como va a decir eso?",0
