HITId,Text,Label,sentiment,directness,annotator_sentiment,target,group
1,صلاة الفجر خير لك من ترديد بول البعير وسبي النساء واغتصاب طفلة نظافة ونشاط وحيوية #عقلانيون,1,hateful_normal,indirect,shock,gender,individual
2,صراحة نفسي اشوف ولاد الوسخة اللي قالوا مدرب اجنبي منك لله ربنا ياخدك ي… @url,1,offensive,indirect,anger_confusion_sadness_indifference_disgust,other,other
3,طيب! هي متبرجة وعبايتها ملونه وطالعة من بيتهم بدون ....... @url,1,offensive,indirect,indifference,other,individual
4,@user @user انا اوافقك بخصوص السوريين و العراقيين اما بخصوص السعودي مو بحاجه انه يقعد بالكويت بدو… @url,0,normal,direct,indifference,origin,other
5,هذه السعودية التي شعبها شعب الخيم و بول البعير  الذي يستهزأ بها الناس,0,normal,indirect,indifference,origin,other
6,ما عارف كنت شايفها منحرفة شديد وانا صغير ليه @url,1,offensive_disrespectful,direct,indifference,gender,individual
7,@user @user تخيل يرد عليك يقولك حسب معلوماتنا ان سكان الارض يشربون بول البعير,1,offensive_normal,indirect,shock,other,individual
8,صباح التوكل على الله والسعي على رزقه والثقة فيما عنده #افريقيا_يا_اهلى,0,normal,indirect,indifference,other,other
9,وانتي مال امك يا مطلقة يا بايرة ياوش قنوات @url,1,offensive_disrespectful,direct,disgust,gender,women
10,@user @user الكردي كلب من يوم يومه بحاجة دائما لسيد وهلا اصبحتم خنازير اسرائيل بمرتبة الكلب,1,hateful,direct,shock_disgust,origin,other
11,@user و مدعمتهاش ليه فى كاس العالم يا جبان يا وسخ,1,offensive,direct,disgust,other,individual
12,خنازير فعلت فعلاً ..,1,abusive_disrespectful,indirect,indifference,other,other
13,لكن حرمة متبرجة تقف على المسرح وتغني امام الر… @url,0,normal,indirect,indifference,gender,women
14,@user @user ابن سلمان ابن ملك  بن ملك معروف من جد من لاب ومن الام رجال قهر خنازير المجوس وذنابها.… @user,1,fearful,direct,sadness,other,individual
15,ي قصارية ي بايرة,1,offensive,direct,shock,other,individual
16,يارب انصرنا #افريقيا_يا_اهلي,0,normal,indirect,sadness,other,other
